;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Troms?;EE;LV;LT
01/01/2019;412,32;224,63;224,63;224,63;224,63;224,63;-39,05;-39,05;484,94;484,94;484,94;465,41;465,41;465,41;224,63;224,63;224,63
02/01/2019;471,8;423,32;423,32;423,32;423,32;423,32;270,27;270,27;506,03;506,03;506,03;502,46;502,46;502,46;423,32;423,32;414,08
03/01/2019;534,12;514,24;514,24;565,2;565,84;566,67;560,83;561,48;565,29;565,29;533,16;514,24;514,24;514,24;567,31;567,31;542,27
04/01/2019;507,95;505,44;505,44;506,91;507,6;542,67;492,74;494,9;507,75;507,75;507,75;505,44;505,44;505,44;542,67;542,67;542,67
05/01/2019;500,07;500,54;500,54;500,54;504,29;515,29;430,13;434,36;500,54;500,54;500,54;500,54;500,54;500,54;515,29;515,29;514,98
06/01/2019;501,45;500,86;500,86;502,2;510,2;502,2;501,78;511,02;502,32;502,32;502,32;500,86;500,86;500,86;502,2;510,2;510,2
07/01/2019;508,74;502,48;502,48;509,96;551,81;510,34;472,77;527,14;510,97;510,61;510,97;502,48;502,48;502,48;510,34;576,42;576,42
08/01/2019;486,2;486,24;486,24;486,24;486,24;511,46;338,86;338,86;487,48;487,48;487,48;486,24;486,24;486,24;511,46;577,58;577,58
09/01/2019;491,7;489,31;489,31;489,31;489,31;567,99;392,7;392,7;493,2;493,2;493,2;489,31;489,31;489,31;567,99;573,65;573,16
10/01/2019;525,87;489,71;489,71;581,67;631,77;582,78;582,42;663,9;582,42;582,42;582,42;488,2;488,2;488,2;582,78;634,66;636,06
11/01/2019;481,37;472,74;472,74;483,13;483,13;502,35;477,32;492,67;486,87;486,87;486,87;472,74;472,74;472,74;502,35;538,32;538,32
12/01/2019;478,87;470,43;470,43;470,43;470,43;470,43;470,43;470,43;483,83;483,83;483,83;475,98;475,98;475,98;470,43;474,46;474,46
13/01/2019;475,84;470,64;470,64;470,64;470,64;470,64;321,59;379,05;483,96;483,96;483,96;475,96;475,96;475,96;470,64;470,64;470,64
14/01/2019;475,81;430,84;430,84;430,84;430,84;474,13;320,06;342,13;488,39;488,39;488,39;482,79;482,79;482,79;474,13;476,43;476,43
15/01/2019;507,94;492,04;492,04;493,16;493,16;523,78;491,11;493,16;510,37;508,31;510,37;509,05;509,05;509,05;523,78;524,68;524,68
16/01/2019;511,51;509,18;509,18;509,18;509,18;542,59;504,47;509,18;513,17;508,46;512,04;512,57;512,57;512,57;542,59;542,59;542,59
17/01/2019;513,25;505,87;505,87;508,68;508,68;514,1;491,6;491,6;515,6;515,6;515,6;511,38;511,38;511,38;514,1;514,1;514,1
18/01/2019;559,76;529,11;529,11;597,03;602,82;606,42;597,03;603,05;597,03;597,03;597,03;525,93;525,93;506,46;602,25;602,25;602,25
19/01/2019;530,73;535,63;535,63;535,63;537,9;535,79;535,11;538,04;536,25;536,25;536,25;535,63;535,63;497,51;535,79;539,25;539,25
20/01/2019;529,9;536,42;536,42;536,42;536,42;536,42;536,43;536,77;539,31;539,31;539,31;529,35;529,35;498,54;536,42;536,42;536,42
21/01/2019;614,72;670,78;670,78;670,78;670,78;670,78;664,96;670,78;667,07;664,96;664,96;559,37;559,37;510,98;670,78;670,78;670,78
22/01/2019;584,78;612,82;612,82;612,82;612,82;626,02;609,89;612,82;610,35;609,26;609,68;548,35;548,35;512,29;626,02;626,02;626,02
23/01/2019;610,34;665,09;665,09;665,09;678,92;665,09;663,44;678,92;661,27;661,27;661,27;539,96;539,96;502,14;665,09;671,18;678,92
24/01/2019;670,58;760,29;760,29;772,78;776,02;772,78;772,78;776,02;763,14;763,14;763,14;543,37;543,37;512,64;772,78;772,78;776,02
25/01/2019;589,97;634,66;634,66;634,66;647,13;635,7;632,75;647,13;626,88;626,66;626,88;533,57;533,57;508,31;635,7;646,51;647,13
26/01/2019;522,95;525,02;525,02;525,02;525,02;534,48;511,88;525,02;524,59;523,55;524,59;524,59;524,59;502,13;534,48;534,48;534,48
27/01/2019;505,78;507,21;507,21;507,21;507,21;515,87;439,04;449,66;507,21;507,21;507,21;507,21;507,21;504,23;515,87;515,87;503,14
28/01/2019;544,11;544,85;544,85;546,35;547,31;591,4;540,33;547,31;546,35;540,33;546,35;531,64;531,64;507,78;591,24;591,24;589,1
29/01/2019;569,31;590,1;590,1;598,82;598,82;599,94;598,82;598,82;598,82;598,82;598,82;537,05;537,05;511,87;599,94;599,94;599,94
30/01/2019;541,5;562,76;562,76;563,04;563,04;575,86;533,42;561,42;563,04;535,03;540,84;537,81;537,81;508,58;574,92;574,92;574,92
31/01/2019;545,96;552,41;552,41;556,56;577,68;593,56;520,12;568,18;556,01;529,04;529,68;552,41;552,41;552,41;593,56;593,56;593,2
01/02/2019;525,79;522,61;522,61;522,61;532,32;553,95;522,46;532,32;522,61;522,46;522,61;522,61;522,61;522,61;553,95;553,95;553,95
02/02/2019;494,51;493,6;493,6;493,6;493,6;493,6;493,6;495,18;494,58;494,58;494,58;493,6;493,6;493,6;493,6;493,6;493,6
03/02/2019;486,64;485,34;485,34;485,34;485,34;485,34;485,34;488,1;488,1;488,1;488,1;485,34;485,34;485,34;485,34;485,34;485,34
04/02/2019;510,54;518,7;518,7;520,77;520,77;531,93;462;509,22;520,77;505,24;511,5;518,7;518,7;518,7;531,93;531,93;531,93
05/02/2019;509,55;507,6;507,6;507,6;507,6;538,76;484,55;484,55;507,16;507,16;507,16;507,6;507,6;507,6;538,09;538,09;533,17
06/02/2019;511,43;502,96;502,96;517,65;517,65;547,27;513;517,65;517,65;513;513,05;502,96;502,96;502,96;547,27;547,27;533,74
07/02/2019;483,29;482,21;482,21;482,21;482,55;500,18;446,7;473,29;483,88;483,88;483,88;482,19;482,19;482,19;500,18;500,18;496,36
08/02/2019;478,3;473,68;473,68;473,68;473,68;487,47;396,56;421,18;482,71;482,71;482,71;473,72;473,72;473,72;487,47;487,47;483,05
09/02/2019;457,86;459,55;459,55;459,55;459,55;459,55;66,5;93,99;467,28;467,28;467,28;459,63;459,63;459,63;459,55;459,55;438,3
10/02/2019;456,84;446,52;446,52;446,52;446,52;446,52;323,68;336,9;464,22;464,22;464,22;450,83;450,83;450,83;446,52;446,52;432,28
11/02/2019;464,05;460,82;460,82;460,82;460,82;495,18;331,63;385,61;467,16;467,16;467,16;460,82;460,82;460,82;495,18;495,18;478,92
12/02/2019;471,73;456,45;456,45;471,38;478,22;479,35;454,67;478,96;479;479;479;456,45;456,45;456,45;480,58;480,58;480,58
13/02/2019;451,38;443,52;443,52;446,88;448,77;473,44;433,6;435,49;454,97;454,97;454,97;443,52;443,52;443,52;473,44;473,44;468,82
14/02/2019;437;427,88;427,88;437,31;462,76;457,2;462,38;474,43;441,33;441,33;441,33;427,88;427,88;427,88;470,82;470,82;470,3
15/02/2019;427,59;424,37;424,37;426,16;448,86;431,64;443,05;452,85;429,42;429,42;429,42;424,37;424,37;424,37;453,19;453,19;453,19
16/02/2019;402,79;389,24;389,24;389,24;389,24;389,24;374,88;374,88;414,38;414,38;414,38;389,24;389,24;389,24;389,24;389,24;388,93
17/02/2019;414,44;404,32;404,32;404,32;404,69;404,69;402,37;406,71;419,12;419,12;419,12;408,77;408,77;408,77;404,69;404,69;404,5
18/02/2019;430;426,3;426,3;426,46;443,74;428,94;431,71;443,16;431,63;431,63;431,63;426,42;426,42;426,42;448,87;448,87;448,87
19/02/2019;416,58;405,67;405,67;405,67;406,42;417,73;392,18;406,42;420,52;420,52;420,52;417,5;417,5;417,5;426,97;426,97;426,97
20/02/2019;424,95;413,31;413,31;414,34;414,34;414,34;436,9;443,16;429,46;429,46;429,46;425,01;425,01;425,01;414,34;414,34;414,34
21/02/2019;428,97;425,91;425,91;431,03;434,45;465,87;425,07;425,07;428,37;428,37;428,37;425,91;425,91;425,91;465,87;465,87;465,87
22/02/2019;424,18;415,68;415,68;442,42;458,94;457,99;458,17;458,91;427,15;427,15;427,15;415,68;415,68;415,68;462,99;462,99;462,01
23/02/2019;393,19;386,9;386,9;386,9;386,9;386,9;390,77;391,96;400,93;400,93;400,93;386,9;386,9;386,9;386,9;386,9;386,9
24/02/2019;387,98;372,87;372,87;372,87;372,87;372,87;379,56;379,56;406,34;406,34;406,34;372,87;372,87;372,87;372,87;372,87;372,76
25/02/2019;403,83;393,3;393,3;399,89;405,18;399,96;419,05;423,96;411,16;411,16;411,16;393,3;393,3;393,3;412,4;412,4;412,4
26/02/2019;409,53;401,38;401,38;403,8;427,34;438,49;437,38;437,93;411,75;411,75;411,75;401,38;401,38;401,38;440,2;440,2;440,2
27/02/2019;402,98;394,39;394,39;401,5;408,48;401,7;410,91;410,91;410,41;410,41;410,41;394,39;394,39;394,39;447,08;447,08;447,08
28/02/2019;401,22;388,71;388,71;390,22;396,83;392,59;395,2;396,93;410,12;410,12;410,12;389,72;389,72;389,09;404,49;404,49;404,49
01/03/2019;436,06;424,36;424,36;439,51;450,7;481,3;453,39;454,85;436,98;436,98;436,98;424,36;424,36;424,23;483,61;483,61;483,61
02/03/2019;409,38;399,78;399,78;399,78;399,78;399,78;395,5;396,39;420,4;420,4;420,4;399,78;399,78;399,78;399,78;399,78;399,78
03/03/2019;392,46;391,51;391,51;391,51;391,51;391,51;146,3;345,91;404,97;404,97;404,97;391,51;391,51;391,51;391,51;391,51;390,55
04/03/2019;409,89;408,36;408,36;408,36;408,36;459,27;161,86;264,2;415,75;415,75;415,75;408,36;408,36;408,36;459,27;459,27;454,26
05/03/2019;426,98;427,23;427,23;427,23;427,23;441,17;332,14;332,13;433,58;433,58;433,58;428,21;428,21;428,21;441,17;441,17;441,17
06/03/2019;438,97;438,63;438,63;438,63;438,63;451,84;393,84;429,27;440,48;440,48;440,48;440,42;440,42;440,42;453,66;453,66;453,66
07/03/2019;430,31;423,65;423,65;423,65;423,65;431,64;398,79;400,95;435,21;435,21;435,21;436,02;436,02;436,02;431,64;431,64;431,64
08/03/2019;405,39;379,73;379,73;379,73;379,73;379,73;314,35;341,1;419,11;419,11;419,11;420,23;420,23;420,23;379,73;379,73;379,73
09/03/2019;399,5;376,2;376,2;376,2;376,2;376,2;78,68;83,89;429,24;429,24;429,24;427,53;427,53;427,53;376,2;376,2;372,78
10/03/2019;406,76;382,05;382,05;382,05;382,05;382,05;273,26;273,26;424,66;424,66;424,66;422,97;422,97;422,97;382,05;382,05;367,38
11/03/2019;444,37;441,91;441,91;441,91;441,91;441,91;441,91;442,3;446,31;446,31;446,31;446,39;446,39;446,39;441,91;441,23;441,23
12/03/2019;438,59;439,53;439,53;439,53;439,53;447,27;377,13;409,99;441,72;438,05;441,72;442,27;442,27;442,27;447,27;447,27;447,27
13/03/2019;411,19;402,54;402,54;402,54;402,54;420,63;370,49;381,73;414,77;414,77;414,77;414,87;414,87;414,87;420,63;412,07;412,07
14/03/2019;411,53;403,03;403,03;403,03;403,03;403,03;389,95;389,95;414,54;414,54;414,54;414,46;414,46;414,46;403,03;403,03;403,03
15/03/2019;415,79;415,75;415,75;415,75;415,75;419,11;372,23;372,88;416,53;416,53;416,53;416,31;416,31;416,31;419,11;419,11;419,11
16/03/2019;393,51;394,13;394,13;394,13;394,13;394,13;198,33;269,86;399,2;399,2;399,2;398,26;398,26;398,26;394,13;394,13;394,13
17/03/2019;351,66;335,37;335,37;335,37;335,37;335,37;17,71;43,66;391,14;391,14;391,14;381,96;381,96;381,96;335,37;335,37;335,37
18/03/2019;401,01;388,08;388,08;388,08;388,08;398,47;314,89;345,43;409,26;409,26;409,26;407,44;407,44;407,44;398,47;398,47;398,47
19/03/2019;443,85;440,4;440,4;440,4;440,4;440,82;440,4;440,4;447,62;447,62;447,62;442,97;442,97;442,97;440,82;440,82;440,82
20/03/2019;403,2;398,57;398,57;399,71;399,71;401,68;397,42;400,81;406,69;406,69;406,69;399,17;399,17;399,17;401,68;401,68;401,68
21/03/2019;384,53;377,26;377,26;377,26;377,26;383,44;375,61;377,87;389,49;389,49;389,49;381,91;381,91;381,91;383,44;383,44;383,44
22/03/2019;388,18;383,06;383,06;383,29;383,61;383,64;389,15;394,4;391,87;391,87;391,87;383,63;383,63;383,63;383,97;383,97;383,97
23/03/2019;348,56;320,54;320,54;320,54;320,54;320,54;339,74;339,74;368,51;368,51;368,51;352;352;352;320,54;320,54;320,54
24/03/2019;351,42;323,34;323,34;323,34;323,34;323,34;322,7;329,53;370,83;370,83;370,83;358,44;358,44;358,44;323,34;323,34;323,34
25/03/2019;380,45;367,08;367,08;367,08;368,04;368,03;313,6;352,8;387,88;387,88;387,88;383,92;383,92;383,92;368,03;368,03;368,03
26/03/2019;388,64;381,26;381,26;381,26;381,43;382,05;365,2;373,8;390,42;390,42;390,42;394,53;394,53;394,53;382,05;382,05;382,05
27/03/2019;386,56;380,82;380,82;380,82;384,08;383,53;386,84;387,24;391,23;391,23;391,23;382,45;382,45;382,45;384,09;384,09;384,09
28/03/2019;376,72;344,59;344,59;344,59;369,73;346,95;410,22;410,22;394,83;394,83;394,83;355,82;355,82;355,82;369,73;369,73;369,73
29/03/2019;352,32;273,6;273,6;273,6;276,69;276,69;365,1;370,86;385;385;385;344,41;344,41;344,41;276,69;276,69;276,69
30/03/2019;343,2;309,73;309,73;309,73;309,73;309,73;318,39;318,39;371,35;371,35;371,35;343,63;343,63;343,63;309,73;309,73;309,73
31/03/2019;338,22;278,43;278,43;278,43;278,43;278,43;259,06;259,26;373,5;373,5;373,5;346,16;346,16;346,16;278,43;278,43;278,43
01/04/2019;380,48;365,03;365,03;367,12;376,35;377,64;379,11;379,82;387,06;387,06;387,06;372,5;372,5;372,5;377,64;378,71;378,71
02/04/2019;360,63;338,44;338,44;338,44;338,66;338,44;319,44;338,4;372,36;372,36;372,36;368,19;368,19;368,19;375,65;375,65;375,65
03/04/2019;389,88;380,6;380,6;380,6;380,6;380,6;398,52;407,27;395,88;389,05;395,88;391,55;391,55;391,55;389,54;389,54;389,54
04/04/2019;381,68;376,01;376,01;376,01;376,01;378,62;389,38;404,28;388,26;381,36;388,26;382,95;382,95;382,95;378,62;378,62;378,62
05/04/2019;385,76;380,85;380,85;380,85;380,85;413,7;394,68;405,81;383,54;383,54;383,54;380,85;380,85;380,85;413,7;413,63;413,63
06/04/2019;379,44;371,94;371,94;371,94;371,94;371,94;377,91;377,91;386,38;386,38;386,38;375,55;375,55;375,55;371,94;371,94;371,94
07/04/2019;383,55;380,6;380,6;380,6;380,6;380,6;388,6;389,11;386,02;386,02;386,02;381,66;381,66;381,66;380,6;380,6;380,6
08/04/2019;399,06;396,88;396,88;396,88;396,88;396,88;398,81;398,8;401,97;401,97;401,97;397,24;397,24;395,18;396,88;396,88;396,88
09/04/2019;410;401,42;401,42;401,42;404,01;401,42;404,87;404,46;412,42;412,42;412,42;412,54;412,54;409,59;404,01;404,01;404,01
10/04/2019;424,14;419,25;419,25;419,25;421,04;419,25;419,46;421,5;423,85;423,85;423,85;427,36;427,36;426,09;419,25;421,04;421,04
11/04/2019;453,83;458,54;458,54;458,54;458,54;459,66;455,5;458,97;449,8;449,8;449,8;460;460;457,19;460,36;460,36;460,36
12/04/2019;450,77;447,11;447,11;447,11;447,27;513,24;446,83;448,15;444,7;444,7;444,7;447,11;447,11;443,8;513,24;513,24;513,24
13/04/2019;422,45;422,2;422,2;422,2;422,2;422,2;409,28;422,2;423,15;423,15;423,15;422,97;422,97;422,2;422,2;422,2;422,2
14/04/2019;410,05;402,25;402,25;402,25;402,25;402,25;364,33;364,33;414,21;414,21;414,21;414,06;414,06;410,31;402,25;402,25;402,25
15/04/2019;436,13;437,39;437,39;437,39;440,08;466,41;426;429,79;434,25;434,25;434,25;439,45;439,45;437,39;466,41;466,41;466,41
16/04/2019;433,13;432,93;432,93;432,93;434,17;482,36;412,06;435,98;430,75;430,75;430,75;432,93;432,93;432,93;482,36;482,36;482,36
17/04/2019;422,85;421,34;421,34;421,34;421,34;452,66;406,36;406,36;421,52;421,52;421,52;421,34;421,34;421,34;452,66;452,66;452,66
18/04/2019;417,95;417,49;417,49;417,49;417,49;454,33;417,44;419,43;417,49;417,49;417,49;417,49;417,49;417,49;454,33;454,33;454,33
19/04/2019;403;398,32;398,32;398,32;398,32;401,51;398,32;398,32;404,96;404,96;404,96;404,96;404,96;404,96;401,51;477,28;477,28
20/04/2019;399,75;399,05;399,05;399,05;399,05;399,05;400,54;401,16;401,02;401,02;401,02;399,5;399,5;399,5;399,05;402,6;402,6
21/04/2019;385,37;366,09;366,09;366,09;366,09;366,09;366,59;368,71;396,95;396,95;396,95;387,86;387,86;387,86;366,09;366,09;366,09
22/04/2019;367,65;341,02;341,02;341,02;341,02;341,02;170,4;268,64;384,12;384,12;384,12;383,78;383,78;383,78;341,02;341,02;341,02
23/04/2019;364,48;340,12;340,12;340,12;340,12;340,12;139,35;154,38;390,62;390,62;390,62;393,16;393,16;393,16;340,12;370,55;370,55
24/04/2019;354,21;299,53;299,53;299,53;299,53;299,81;289,13;300,55;381,81;381,81;381,81;385,54;385,54;385,54;299,81;355,09;355,09
25/04/2019;387,12;377,27;377,27;377,27;391,42;390,16;391,87;393,96;389,46;389,46;389,46;389,52;389,52;389,52;390,16;506,75;506,75
26/04/2019;398,99;397,38;397,38;397,38;414,58;478,94;419,63;420,61;398,15;398,15;398,15;398,15;398,15;398,15;478,94;539,99;539,99
27/04/2019;323,46;317,34;317,34;317,34;317,34;317,34;321,42;321,75;324,87;324,87;324,87;331,7;331,7;331,7;317,34;357,06;357,06
28/04/2019;283,51;244,73;244,73;244,73;244,73;244,73;336,59;336,59;331,02;331,02;331,02;334,51;334,51;334,51;244,73;244,73;244,73
29/04/2019;389,59;366,56;366,56;366,56;383,14;454,14;418,18;418,18;389,58;389,58;389,58;388,91;388,91;388,91;518,37;518,37;518,37
