St.no;Date;Temperatur;Precipitation
18700;01/Jan/19;4,7;0
18700;02/Jan/19;1;0
18700;03/Jan/19;1;0
18700;04/Jan/19;2,3;0
18700;05/Jan/19;3,3;0
18700;06/Jan/19;-1;0
18700;07/Jan/19;-1;0
18700;08/Jan/19;1,3;6,8
18700;09/Jan/19;0,3;4,2
18700;10/Jan/19;-2,1;0
18700;11/Jan/19;-0,3;0
18700;12/Jan/19;-4,3;0
18700;13/Jan/19;-3,5;0,1
18700;14/Jan/19;0,1;0
18700;15/Jan/19;-3,9;0
18700;16/Jan/19;-5,5;2,3
18700;17/Jan/19;-6,4;5,8
18700;18/Jan/19;-4,4;0
18700;19/Jan/19;-4,7;0
18700;20/Jan/19;-5,9;0
18700;21/Jan/19;-5,2;1,1
18700;22/Jan/19;-4,1;0
18700;23/Jan/19;-1,7;0
18700;24/Jan/19;-2,4;0
18700;25/Jan/19;-2,9;2,8
18700;26/Jan/19;-4,6;2,5
18700;27/Jan/19;-6;0,6
18700;28/Jan/19;-5,2;6
18700;29/Jan/19;-10,6;2,9
18700;30/Jan/19;-10,1;0
18700;31/Jan/19;-6,4;0,5
18700;01/Feb/19;-2,7;2,5
18700;02/Feb/19;-3,3;11,9
18700;03/Feb/19;-4,6;3,5
18700;04/Feb/19;-7;0
18700;05/Feb/19;-2,5;10,3
18700;06/Feb/19;-5,7;0,3
18700;07/Feb/19;-2,4;2,9
18700;08/Feb/19;-0,1;3,3
18700;09/Feb/19;3,3;15
18700;10/Feb/19;1,9;6,1
18700;11/Feb/19;0,7;10,2
18700;12/Feb/19;-2,1;0
18700;13/Feb/19;4,7;2,2
18700;14/Feb/19;1,8;0
18700;15/Feb/19;2,3;0
18700;16/Feb/19;2,1;0
18700;17/Feb/19;1,9;0
18700;18/Feb/19;3,5;0,6
18700;19/Feb/19;3,2;0
18700;20/Feb/19;1,4;0
18700;21/Feb/19;-0,1;9,7
18700;22/Feb/19;0,2;0,4
18700;23/Feb/19;2;2,1
18700;24/Feb/19;2,2;0,1
18700;25/Feb/19;3;0
18700;26/Feb/19;4,8;0
18700;27/Feb/19;0,9;0
18700;28/Feb/19;3,4;0
18700;01/Mar/19;1,9;0
18700;02/Mar/19;-0,5;0
18700;03/Mar/19;2,8;5,6
18700;04/Mar/19;1,7;5,8
18700;05/Mar/19;-1,5;3,4
18700;06/Mar/19;-1,8;3,6
18700;07/Mar/19;1,2;6,9
18700;08/Mar/19;0,9;12,9
18700;09/Mar/19;-1,8;0,8
18700;10/Mar/19;-1,9;1,5
18700;11/Mar/19;-2,2;0
18700;12/Mar/19;-3,1;0
18700;13/Mar/19;1;8,2
18700;14/Mar/19;-1,9;5,6
18700;15/Mar/19;0,4;0
18700;16/Mar/19;0,7;0,6
18700;17/Mar/19;1,5;8,2
18700;18/Mar/19;2,5;8,8
18700;19/Mar/19;2,3;0
18700;20/Mar/19;6,5;0
18700;21/Mar/19;7,6;0
18700;22/Mar/19;2,9;0
18700;23/Mar/19;6,5;0
18700;24/Mar/19;4,2;0,2
18700;25/Mar/19;4,1;0
18700;26/Mar/19;4,3;0
18700;27/Mar/19;5,9;0
18700;28/Mar/19;7;0
18700;29/Mar/19;9,2;0
18700;30/Mar/19;6,3;0
18700;31/Mar/19;3,7;1,3
18700;01/Apr/19;1,9;0
18700;02/Apr/19;4,7;0
18700;03/Apr/19;4,2;0
18700;04/Apr/19;8,8;0,1
18700;05/Apr/19;5,8;0
18700;06/Apr/19;5,8;0
18700;07/Apr/19;6,1;0
18700;08/Apr/19;4,3;0
18700;09/Apr/19;2,4;0
18700;10/Apr/19;2,2;0
18700;11/Apr/19;2,6;0
18700;12/Apr/19;3,6;0
18700;13/Apr/19;5,6;0
18700;14/Apr/19;5,1;0
18700;15/Apr/19;6,2;0
18700;16/Apr/19;6,6;0
18700;17/Apr/19;8,3;0
18700;18/Apr/19;10,2;0
18700;19/Apr/19;11;0
18700;20/Apr/19;11,5;0
18700;21/Apr/19;12;0
18700;22/Apr/19;11,8;0
18700;23/Apr/19;13,1;0
18700;24/Apr/19;15;0
18700;25/Apr/19;14,1;0,1
18700;26/Apr/19;14,8;1,5
18700;27/Apr/19;14,6;0,1
18700;28/Apr/19;14,6;9,5
18700;29/Apr/19;16,2;0
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
--------------------------------------------;;;
Data valid for 30.04.2019  (CC BY 3.0), Norwegian Meteorological Institute;;;
