;NO1;NO2;NO3;NO4;NO5;NO
01-01-2016;117510;103868;61730;53974;56736;393811
02-01-2016;127691;111002;67498;55271;59328;420780
03-01-2016;139146;117681;73081;56806;62409;449122
04-01-2016;155833;128512;80255;66269;68913;499773
05-01-2016;161848;131007;81576;66569;70117;511110
06-01-2016;170854;133300;81091;68554;71636;525431
07-01-2016;173374;136184;83397;69083;72308;534342
08-01-2016;171717;134388;86204;68008;71807;532117
09-01-2016;160195;130033;84651;66544;70030;511449
10-01-2016;153164;123469;81436;65173;65251;488489
11-01-2016;151948;125739;81137;69285;66211;494320
12-01-2016;152747;127133;80584;69019;68010;497493
13-01-2016;159409;128541;79300;70163;69694;507107
14-01-2016;172893;131657;84380;69647;68072;526644
15-01-2016;176080;134604;84291;68183;69631;532789
16-01-2016;163244;130277;80666;64304;69339;507829
17-01-2016;164224;131593;78253;63229;69998;507294
18-01-2016;175457;138515;80002;67596;70993;532560
19-01-2016;177065;136994;79836;69180;72214;535284
20-01-2016;175663;140642;78413;70290;74113;539116
21-01-2016;177997;142333;79162;68335;74379;542203
22-01-2016;178839;136322;79484;64580;71595;530807
23-01-2016;153546;123829;73628;61235;65539;477770
24-01-2016;142195;117467;71689;61409;61433;454188
25-01-2016;147286;117585;72817;64170;59791;461638
26-01-2016;137069;113244;71059;65679;59840;446886
27-01-2016;129343;110536;72490;62926;59530;434821
28-01-2016;129286;113664;74508;62496;61858;441812
29-01-2016;127550;112931;73871;62361;59310;436023
30-01-2016;120834;110259;71554;59880;60503;423025
31-01-2016;120445;110112;71456;59111;59416;420532
01-02-2016;142868;119732;75919;62190;62891;463594
02-02-2016;135668;116602;75356;63579;60665;451866
03-02-2016;134320;118146;74297;64081;62389;453225
04-02-2016;140391;121619;75704;63078;63848;464635
05-02-2016;142994;123001;74301;63663;64337;468288
06-02-2016;122313;108688;69774;60200;59295;420266
07-02-2016;114729;105443;66950;59248;58031;404398
08-02-2016;127712;112568;71174;61323;60107;432877
09-02-2016;125557;112605;73295;62275;60467;434195
10-02-2016;128628;115085;75158;62384;61162;442413
11-02-2016;134285;118413;76949;64244;63211;457098
12-02-2016;142019;123448;78091;64370;64222;472144
13-02-2016;134562;119847;75566;62145;64162;456276
14-02-2016;137667;119037;76406;61200;64248;458553
15-02-2016;153242;129272;78220;65700;69256;495689
16-02-2016;153965;128486;76521;64628;68999;492597
17-02-2016;141716;123202;74866;63056;64441;467277
18-02-2016;146099;124806;75663;60611;65629;472798
19-02-2016;142465;121486;75828;60796;64221;464786
20-02-2016;128316;114780;71731;59418;60291;434528
21-02-2016;123348;112647;70858;57763;59652;424264
22-02-2016;136972;119654;75797;62344;62422;457191
23-02-2016;137756;118606;77482;62866;62310;459011
24-02-2016;135859;118815;74813;63527;63161;456167
25-02-2016;138639;120399;75421;64346;63728;462529
26-02-2016;131618;119353;74624;65530;63170;454288
27-02-2016;124830;115238;72597;62608;59568;434837
28-02-2016;124330;112865;70422;61658;58908;428176
29-02-2016;142584;123539;74728;63478;63428;467754
01-03-2016;140609;126070;76556;62239;63497;468967
02-03-2016;140083;124513;75682;63864;62853;466987
03-03-2016;136751;123445;74724;64082;63236;462235
04-03-2016;132970;118889;73818;62026;61631;449329
05-03-2016;122198;112909;70154;59042;59262;423564
06-03-2016;121495;110836;69600;58518;59153;419594
07-03-2016;133123;117492;84502;60341;52754;448206
08-03-2016;131475;117499;83432;61417;53539;447358
09-03-2016;129279;117513;83480;61404;52921;444595
10-03-2016;127812;116277;80675;62358;51606;438730
11-03-2016;127909;118042;80862;59825;52363;438989
12-03-2016;120684;112016;77654;55767;50526;416639
13-03-2016;112999;106423;75645;55867;48617;399547
14-03-2016;115612;109753;77037;58520;49525;410448
15-03-2016;108651;105293;75446;58442;47784;395605
16-03-2016;107881;105415;74984;59017;48197;395497
17-03-2016;111350;107888;77319;61238;47572;405368
18-03-2016;107741;105564;77883;61816;47954;400956
19-03-2016;98832;100396;75932;58662;46486;380304
20-03-2016;95258;98211;73441;57855;45572;370330
21-03-2016;105814;104013;78112;62211;48381;398527
22-03-2016;106298;103827;78041;62866;49969;400994
23-03-2016;104381;101969;76030;60951;48411;391740
24-03-2016;104050;104001;71996;56180;48525;384749
25-03-2016;98330;98020;70941;55545;46582;369413
26-03-2016;99170;98743;68478;52954;44823;364164
27-03-2016;92456;91385;59066;48732;41322;332959
28-03-2016;100413;98718;65017;50774;45278;360194
29-03-2016;108528;105108;72057;54744;47114;387546
30-03-2016;110514;106734;75645;55422;48187;396496
31-03-2016;116497;108391;78047;56529;49058;408522
01-04-2016;110909;109102;78156;56014;49611;403785
02-04-2016;103029;103024;72476;52613;44803;375946
03-04-2016;98435;97816;70083;52400;44753;363477
04-04-2016;105117;103536;72266;55752;45077;381742
05-04-2016;104334;102201;71280;54423;45262;377497
06-04-2016;101894;101886;69848;54962;45816;374400
07-04-2016;103983;101989;70748;55111;45756;377581
08-04-2016;105857;103418;74407;51597;46901;382171
09-04-2016;95910;98285;71775;51407;44038;361415
10-04-2016;91438;94813;69984;52151;42527;350906
11-04-2016;97009;98872;72591;56206;43697;368365
12-04-2016;96454;98448;72832;56798;43528;368055
13-04-2016;95902;99699;71929;57853;44081;369462
14-04-2016;99221;99319;74596;56253;42697;372080
15-04-2016;98661;100873;75091;56171;45792;376589
16-04-2016;87973;93490;70040;51840;41974;345308
17-04-2016;90578;91762;69161;50770;42010;344272
18-04-2016;98217;97297;71950;53034;45189;365683
19-04-2016;96030;98032;71237;53402;46015;364708
20-04-2016;93941;96599;71407;53827;45721;361492
21-04-2016;92346;93919;73138;53199;45029;357622
22-04-2016;94445;95576;74789;53612;46415;364827
23-04-2016;92454;94473;72249;51452;45973;356602
24-04-2016;93840;93291;71282;51024;44693;354123
25-04-2016;104164;101581;74530;52898;47003;380170
26-04-2016;103156;101308;73588;50846;45132;374026
27-04-2016;100658;99345;72573;50468;45207;368243
28-04-2016;102756;101051;71582;48108;45447;368944
29-04-2016;101004;101191;70945;46026;44931;364091
30-04-2016;97924;97780;67281;44328;43452;350768
01-05-2016;89062;91096;63886;44111;42768;330920
02-05-2016;98514;101313;66487;46689;45321;358319
03-05-2016;95867;96218;65656;45969;43778;347486
04-05-2016;91534;94259;66050;47384;41976;341193
05-05-2016;80344;87357;62511;46204;38523;314943
06-05-2016;81307;89348;63659;46637;37993;318941
07-05-2016;72560;80769;60457;44367;34960;293109
08-05-2016;67292;76761;58365;44773;32522;279707
09-05-2016;75112;83750;62564;50059;35265;306743
10-05-2016;74191;84022;64320;50186;36389;309100
11-05-2016;74426;83278;64874;50108;35608;308294
12-05-2016;75366;85006;67274;50751;36334;314722
13-05-2016;80047;87974;70497;49855;39204;327572
14-05-2016;74965;84258;65074;45831;37825;307949
15-05-2016;71508;82235;61200;44563;36446;295950
16-05-2016;73162;83301;60389;48077;38033;302955
17-05-2016;70074;81816;61195;48270;37585;298936
18-05-2016;79646;90619;66866;50769;41047;328944
19-05-2016;80251;87741;67707;50721;39591;326006
20-05-2016;81441;88500;66517;48626;38686;323766
21-05-2016;73460;82971;58636;44174;35421;294657
22-05-2016;72545;80678;58401;41439;34539;287595
23-05-2016;81398;85549;65464;45957;37368;315725
24-05-2016;83974;87379;65925;47386;37322;321978
25-05-2016;80530;85884;65132;46238;38130;315910
26-05-2016;77787;85803;64151;47976;35131;310851
27-05-2016;74584;83773;61516;44534;36048;300454
28-05-2016;67455;79375;57345;40189;29156;273517
29-05-2016;67927;77462;56654;39476;27126;268643
30-05-2016;76016;83396;60195;41801;28458;289864
31-05-2016;72936;81046;61164;42565;27694;285399
