;NO;SE;FI
02ÿ-ÿ14;53881;21425;3768
03ÿ-ÿ14;51076;20255;3704
04ÿ-ÿ14;48377;18972;3591
05ÿ-ÿ14;45710;17688;3459
06ÿ-ÿ14;43538;16616;3332
07ÿ-ÿ14;41732;15595;3222
08ÿ-ÿ14;39740;14564;3037
09ÿ-ÿ14;38121;13544;2895
10ÿ-ÿ14;36595;12640;2792
11ÿ-ÿ14;35204;12023;2716
12ÿ-ÿ14;34311;11290;2608
13ÿ-ÿ14;32343;10258;2514
14ÿ-ÿ14;30209;9228;2391
15ÿ-ÿ14;29359;8618;2317
16ÿ-ÿ14;28311;8285;2345
17ÿ-ÿ14;28450;8568;2477
18ÿ-ÿ14;28661;8992;2625
19ÿ-ÿ14;28251;9049;2684
20ÿ-ÿ14;29661;9993;2983
21ÿ-ÿ14;37221;13990;3573
22ÿ-ÿ14;42648;17048;3838
23ÿ-ÿ14;48433;19560;3897
24ÿ-ÿ14;53515;21648;3952
25ÿ-ÿ14;56286;22267;3952
26ÿ-ÿ14;57003;22437;3894
27ÿ-ÿ14;58732;23042;3905
28ÿ-ÿ14;62821;23835;3862
29ÿ-ÿ14;64394;24609;3846
30ÿ-ÿ14;64806;24793;3752
31ÿ-ÿ14;65147;24832;3747
32ÿ-ÿ14;65754;24946;3671
33ÿ-ÿ14;66330;24819;3639
34ÿ-ÿ14;66711;25140;3638
35ÿ-ÿ14;66309;25000;3629
36ÿ-ÿ14;66054;24523;3563
37ÿ-ÿ14;65951;24126;3499
38ÿ-ÿ14;64615;23606;3408
39ÿ-ÿ14;64405;23403;3423
40ÿ-ÿ14;64449;23427;3449
41ÿ-ÿ14;65237;23518;3449
42ÿ-ÿ14;64640;23401;3391
43ÿ-ÿ14;66817;23627;3327
44ÿ-ÿ14;69426;24152;3400
45ÿ-ÿ14;69011;24114;3503
46ÿ-ÿ14;68133;23917;3615
47ÿ-ÿ14;66210;23240;3608
48ÿ-ÿ14;64331;22655;3570
49ÿ-ÿ14;62297;22092;3539
50ÿ-ÿ14;60443;21497;3527
51ÿ-ÿ14;58655;20901;3504
52ÿ-ÿ14;56579;20125;3451
01ÿ-ÿ15;55533;19854;3455
