;Datatyper ENG;Precipitation 2017 (right axis);Consumption 2017;Production 2017;;;;;;;;;;
1;1;1,5;3,3;3,7;;;;;;;;;;
2;2;1,3;3,1;3,3;;;;;;;;;;
3;3;1,7;3,1;3,5;;;;;;;;;;
4;4;1,6;3,1;3,4;;;;;;;;;;
5;5;0,9;3,1;3,6;;;;;;;;;;
6;6;0,7;3,4;3,6;;;;;;;;;;
7;7;0,8;3,1;3,4;;;;;;;;;;
8;8;1,1;3,0;2,9;;;;;;;;;;
9;9;0,8;3,0;3,0;;;;;;;;;;
10;10;0,5;3,1;3,2;;;;;;;;;;
11;11;0,9;2,9;2,6;;;;;;;;;;
12;12;0,9;2,8;2,7;;;;;;;;;;
13;13;1,9;2,7;2,9;;;;;;;;;;
14;14;2,3;2,6;2,8;;;;;;;;;;
15;15;1,7;2,5;2,5;;;;;;;;;;
16;16;1,1;2,6;2,7;;;;;;;;;;
17;17;0,8;2,6;2,8;;;;;;;;;;
18;18;1,5;2,3;2,3;;;;;;;;;;
19;19;2,2;2,4;2,6;;;;;;;;;;
20;20;8,1;2,2;2,6;;;;;;;;;;
21;21;7,6;2,1;2,5;;;;;;;;;;
22;22;6,6;2,2;2,6;;;;;;;;;;
23;23;9,4;2,1;2,5;;;;;;;;;;
24;24;7,7;2,1;2,6;;;;;;;;;;
25;25;6,0;2,1;2,7;;;;;;;;;;
26;26;4,5;2,1;2,5;;;;;;;;;;
27;27;3,7;2,0;2,6;;;;;;;;;;
28;28;4,1;2,0;2,4;;;;;;;;;;
29;29;3,6;1,9;2,4;;;;;;;;;;
30;30;3,8;1,9;2,3;;;;;;;;;;
31;31;4,5;2,0;2,3;;;;;;;;;;
32;32;3,7;2,0;2,5;;;;;;;;;;
33;33;3,7;2,0;2,5;;;;;;;;;;
34;34;2,5;2,1;2,6;;;;;;;;;;
35;35;2,2;2,1;2,7;;;;;;;;;;
36;36;3,0;2,1;2,6;;;;;;;;;;
37;37;3,9;2,2;2,5;;;;;;;;;;
38;38;2,4;2,2;2,7;;;;;;;;;;
39;39;2,5;2,2;2,7;;;;;;;;;;
40;40;4,8;2,4;2,7;;;;;;;;;;
41;41;2,7;2,4;2,8;;;;;;;;;;
42;42;3,2;2,5;2,9;;;;;;;;;;
43;43;2,9;2,6;2,8;;;;;;;;;;
44;44;2,6;2,7;2,9;;;;;;;;;;
45;45;1,8;2,8;3,1;;;;;;;;;;
46;46;1,4;3,0;3,1;;;;;;;;;;
47;47;2,0;3,1;3,4;;;;;;;;;;
48;48;1,2;3,2;3,6;;;;;;;;;;
49;49;2,4;3,1;3,1;;;;;;;;;;
50;50;1,0;3,4;3,8;;;;;;;;;;
51;51;2,1;3,2;3,5;;;;;;;;;;
52;52;1,9;3,1;3,0;;;;;;;;;;
