;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Troms›;EE;ELE;LV;LT
01-01-2013;233,01;223,54;223,54;223,54;223,54;223,54;192,56;192,72;241,42;241,42;241,42;240,23;240,23;240,23;231,58;231,58;;192,87
02-01-2013;269,3;270,61;270,61;270,61;270,61;272,33;243,52;243,52;271,61;266,86;271,61;270,61;270,61;270,61;293,7;293,7;;250,58
03-01-2013;256,89;256,07;256,07;256,07;256,07;256,36;226,36;228,91;259,89;259,24;259,89;256,16;256,16;256,16;299,34;299,34;;334,94
04-01-2013;253,87;250,17;250,17;250,17;250,17;251,87;220,26;220,26;258,18;258,08;258,18;251,38;251,38;251,38;299,61;299,61;;298,32
05-01-2013;258,16;258,73;258,73;258,73;261,8;258,73;258,04;258,99;258,83;257,47;257,47;258,73;258,73;258,73;274,41;274,41;;285,51
06-01-2013;254,88;254,99;254,99;254,99;255,69;254,99;253,81;255,95;254,99;254,43;254,43;254,99;254,99;254,99;272,06;272,06;;265,58
07-01-2013;281,94;283,37;283,37;283,37;312,32;287,96;359,33;360,55;280,88;268,23;272,88;283,37;283,37;283,37;292,46;292,46;;319,59
08-01-2013;296,42;293,33;293,33;293,33;327,95;293,33;339,46;339,46;293,33;275,99;293,33;293,33;293,33;293,33;271,96;271,96;;317,91
09-01-2013;287,94;291,65;291,65;291,65;291,65;291,65;291,65;291,65;291,69;278,91;291,69;291,65;291,65;291,65;292,84;292,84;;282,96
10-01-2013;297,48;301,21;301,21;301,21;301,21;301,21;300,95;302,13;303,74;282,62;303,74;301,21;301,21;301,21;297,24;297,24;;276,39
11-01-2013;305,65;310,55;310,55;314,4;314,4;321,1;314,4;314,4;315,5;284,08;315,5;310,55;310,55;310,55;316,48;316,48;;277,77
12-01-2013;297,13;299,89;299,89;300,09;303,02;300,79;306,01;306,01;300,21;286,52;300,21;299,89;299,89;291,22;300,79;300,79;;290,45
13-01-2013;290,44;291,09;291,09;291,65;291,65;291,52;291,65;291,65;292,18;287,09;292,18;291,09;291,09;288,05;295,41;295,41;;335,51
14-01-2013;341,62;343,7;343,7;377,84;377,84;343,46;378,63;378,67;381,16;291,88;381,16;343,7;343,7;343,7;336,4;336,4;;349,58
15-01-2013;352,78;371,95;371,95;371,95;371,95;371,95;371,95;371,95;372,8;295,59;372,8;371,95;371,95;371,95;365,36;365,36;;341,56
16-01-2013;376,38;377,93;377,93;381,69;382,2;377,93;382,2;382,2;382,33;358,81;382,33;377,93;377,93;374,73;366,97;366,97;;371,65
17-01-2013;396,62;397,57;397,57;397,57;397,57;397,57;397,57;397,57;397,57;389,44;397,57;397,57;397,57;397,57;365,04;365,1;;362,11
18-01-2013;354,21;355,21;355,21;355,21;355,21;356,07;355,21;355,21;355,32;343;355,32;355,21;355,21;351,43;342,06;342,06;;382,33
19-01-2013;299,08;298;298;298;298;299,11;287,45;287,46;301,84;301,01;301,84;298;298;294,68;299,11;299,11;;370,11
20-01-2013;286,64;286,04;286,04;286,04;286,04;286,09;272,2;273,17;289,65;288,61;289,65;286,04;286,04;286,04;296,73;296,73;;325,19
21-01-2013;307,62;309,36;309,36;309,36;309,36;309,36;277,83;289,69;312,5;299,95;312,5;309,36;309,36;308,39;306,47;318,05;;350,98
22-01-2013;350,21;347,03;347,03;363,49;363,49;346,28;356,17;356,85;365,04;362,68;365,04;347,03;347,03;347,03;338,53;344,87;;333,4
23-01-2013;404,27;400,51;400,51;427,81;427,81;399,76;427,81;427,81;426,93;394,02;426,93;400,51;400,51;399,71;396,61;420,05;;460,52
24-01-2013;413,69;408,22;408,22;432,6;432,6;405,75;432,6;432,6;430,62;428,07;430,62;408,22;408,22;406,22;399,29;401,71;;426,7
25-01-2013;376,92;377,45;377,45;377,45;377,45;377,45;377,17;377,17;376,22;371,18;376,22;377,45;377,45;375,93;373,01;402,68;;400,08
26-01-2013;277,88;278,1;278,1;278,1;278,1;278,1;267,22;267,54;278,42;278,42;278,42;278,1;278,1;278,1;276,36;352,59;;306,46
