;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Troms›;EE;LV;LT;FRE
01-01-2015;244,22;225,43;225,43;225,43;225,43;225,43;147,61;164,72;246,47;246,47;246,47;257,27;257,27;257,27;225,43;299,56;299,56;
02-01-2015;239,51;226,24;226,24;226,24;226,24;227,9;45,01;105,18;249,44;249,44;249,44;260,73;260,73;260,73;227,9;237,77;237,77;
03-01-2015;242,71;217,84;217,84;217,84;217,84;220,16;138,46;140,35;246,17;246,14;246,17;257,28;257,28;257,28;220,16;256,3;256,3;
04-01-2015;257,57;258,76;258,76;258,76;258,76;261,8;192,93;197,35;257,36;257,16;257,36;261,65;261,65;261,65;268,71;268,71;268,71;
05-01-2015;334,79;302,71;302,71;352,18;352,18;377,78;348,02;351,82;319,96;319,96;285,22;302,71;302,71;302,71;377,78;384,28;384,28;
06-01-2015;271,2;272,29;272,29;272,29;272,29;296,14;267,03;276,19;264,65;264,65;264,65;272,29;272,29;272,29;296,14;351,76;351,76;
07-01-2015;281,61;288,3;288,3;293,09;297,44;303,53;269,16;297,44;266,81;266,81;266,81;288,87;288,87;288,87;303,53;354,83;354,83;
08-01-2015;259,39;262,66;262,66;262,66;262,66;275,37;229,79;262,66;250,22;250,22;250,22;265,76;265,76;265,77;275,37;371,95;371,95;
09-01-2015;250,8;256,81;256,81;256,81;256,81;299,9;209,9;256,81;246,04;240,16;246,04;258,07;258,07;258,07;299,9;356,38;356,38;
10-01-2015;239,77;251,76;251,76;251,76;251,76;259,78;135,2;251,76;234,76;233,66;234,76;251,97;251,97;252,07;262,5;351,07;351,07;
11-01-2015;234,59;241,38;241,38;241,38;241,38;247,68;33,95;241,38;233,19;229,67;233,19;249,23;249,23;249,24;247,68;356,8;356,8;
12-01-2015;266,21;268,34;268,34;268,34;268,34;456,51;101,96;261,79;257,72;240,99;256,27;268,51;268,51;268,51;456,51;468,8;468,8;
13-01-2015;270,87;301,89;301,89;301,89;301,89;440,52;213,4;281,71;239,64;239,64;239,64;301,89;301,89;301,89;440,52;466,04;466,04;
14-01-2015;270,52;272,47;272,47;272,47;272,47;310,66;224,02;238,88;263,04;251,74;260,32;273;273;273;310,66;463,1;463,1;
15-01-2015;254,81;264,34;264,34;264,34;264,34;321,87;210,21;231,68;246,56;236,72;246,56;264,76;264,76;264,76;321,87;369,21;369,21;
16-01-2015;252,84;258,99;258,99;258,99;258,99;300,16;183,62;236,51;245,15;240,36;245,15;261,64;261,64;261,64;300,16;361,41;361,42;
17-01-2015;247,56;251,49;251,49;251,49;251,49;251,8;240,22;254,73;240,81;240,72;240,81;252,78;252,78;252,78;251,8;342,85;342,85;
18-01-2015;246,39;246,64;246,64;246,64;246,64;246,64;237,23;246,64;245,08;245,08;245,08;250,48;250,48;250,48;246,64;282,7;282,7;
19-01-2015;300,8;274,39;274,39;287,38;298,55;336,09;300,9;300,9;287,38;287,38;279,88;274,39;274,39;274,39;336,09;354,31;354,31;
20-01-2015;313,33;297,43;297,43;309,52;313,17;322,83;356,56;357,18;263,28;263,28;263,28;297,43;297,43;297,43;322,83;356,51;356,51;
21-01-2015;341,91;346,03;346,03;353,01;362,26;357,52;363,61;366,8;259,89;259,89;259,89;346,03;346,03;346,03;357,52;376,08;376,08;
22-01-2015;350,51;360,21;360,21;362,89;369,72;366,91;369,08;371,41;273,05;273,05;273,05;360,21;360,21;360,21;366,91;389,38;389,63;
23-01-2015;351,68;342,23;342,23;352,39;358,89;360,18;351,07;362,06;344,71;344,71;344,71;342,23;342,23;342,23;360,18;388,36;388,36;
24-01-2015;248,52;249,8;249,8;249,8;249,8;253,56;241,38;249,8;246,49;246,31;246,49;251,48;251,48;251,48;253,56;325,29;325,29;
25-01-2015;250,33;251,1;251,1;251,1;253,4;251,1;245,4;253,4;247,54;247,54;247,54;254,54;254,54;254,54;251,1;342,2;342,2;
26-01-2015;254,29;253,27;253,27;253,27;253,27;329,98;246,92;253,27;248,19;247,82;248,19;254,07;254,07;254,07;329,98;375,79;375,79;
27-01-2015;259,39;253,3;253,3;253,99;260,16;363,58;238,45;267,86;253,78;253,51;253,78;255,03;255,03;255,03;363,58;397,87;397,87;
28-01-2015;244,62;244,46;244,46;244,46;244,46;285,74;230,81;244,46;242,36;240,58;242,36;246,47;246,47;246,47;285,74;360,78;360,78;
29-01-2015;243,58;241,24;241,24;241,24;241,24;280,15;234,89;236,35;241,24;241,24;241,24;246,99;246,99;246,99;280,15;343,33;343,33;
30-01-2015;268,41;263,62;263,62;267,31;267,31;296,7;267,31;267,31;267,31;267,31;267,31;264,13;264,13;264,13;296,7;342,73;342,73;
31-01-2015;248,07;247,93;247,93;247,93;247,93;247,93;247,93;247,93;247,93;247,93;247,93;249,13;249,13;249,13;247,93;338,77;338,77;
01-02-2015;243,21;242,52;242,52;242,52;242,52;242,52;242,52;242,52;242,52;242,52;242,52;248,52;248,52;248,52;242,52;258,61;258,61;
02-02-2015;287,91;265,82;265,82;303,85;307,45;305,04;283,52;307,45;283,52;283,52;283,52;268,79;268,79;268,79;305,04;353,71;353,71;
03-02-2015;325,83;289,33;289,33;332,72;343,79;333,75;332,72;343,79;331,68;331,68;331,68;289,33;289,33;289,33;333,75;366,96;366,96;
04-02-2015;373,52;369,01;369,01;372,63;384,65;369,01;377,55;384,65;372,63;372,63;372,63;369,01;369,01;369,01;369,01;381,94;381,94;
05-02-2015;314,72;276,78;276,78;328,65;352,08;328,65;338,44;352,08;328,65;328,65;328,65;276,78;276,78;276,78;328,65;365,24;365,24;
06-02-2015;267,32;257,21;257,21;281,18;310,91;286,3;280,44;310,91;265,25;265,25;265,25;257,21;257,21;257,21;286,3;344,11;345,9;
07-02-2015;229,62;228,52;228,52;228,52;228,52;231,68;204,53;228,52;228,52;228,52;228,52;241,81;241,81;241,81;231,68;273,23;273,23;
08-02-2015;231,09;231,37;231,37;231,37;231,37;237,43;125,49;163,95;229,6;229,54;229,6;248,86;248,86;248,86;237,43;291,05;291,05;
09-02-2015;245,39;244,85;244,85;244,85;248,43;343,65;209,75;248,43;239,14;239,14;239,14;248,25;248,25;248,25;343,65;366,27;366,27;
10-02-2015;246,49;245,97;245,97;245,97;272,76;288,08;241,85;272,76;241,85;241,85;241,85;247,53;247,53;247,53;288,08;349,7;349,7;
11-02-2015;276,54;249,89;249,89;280,91;343,59;293,16;344,48;346,24;244,98;244,98;244,98;249,89;249,89;249,89;293,16;343,37;343,37;
12-02-2015;282,81;246,86;246,86;317,77;362,1;328,2;359,14;362,1;242,88;242,88;242,88;246,86;246,86;246,86;328,2;368,01;368,01;
13-02-2015;273,95;249,09;249,09;314,04;321,67;387,68;286,24;321,67;246,57;246,57;246,57;249,09;249,09;249,09;387,68;409,24;409,24;
14-02-2015;238,39;237,42;237,42;237,42;241,56;271,38;237,37;258,98;237,37;237,37;237,26;237,94;237,94;238,24;271,38;347,88;347,88;
15-02-2015;228,83;228,13;228,13;228,13;228,13;248,27;228,13;228,13;228,13;228,13;228,13;229,61;229,61;229,61;248,27;334,22;334,22;
16-02-2015;241,42;239;239;239;239;321,34;238,39;239;238,33;238,33;238,33;239,06;239,06;239,06;321,34;342,23;342,23;
17-02-2015;252,49;239,94;239,94;271,2;323,96;328,24;285,46;323,96;241,08;241,08;241,08;239,94;239,94;239,94;328,24;353,6;353,6;
18-02-2015;234,78;234,54;234,54;234,54;237,15;314,98;231,77;237,15;231,77;231,77;231,77;234,54;234,54;234,54;314,98;354,82;354,82;
19-02-2015;223,69;222,31;222,31;222,31;222,31;293,89;222,31;222,31;222,31;222,31;222,31;223,46;223,46;223,46;293,89;333,95;333,95;
20-02-2015;223,12;221,76;221,76;221,76;221,76;280,25;221,76;221,76;221,76;221,76;221,76;223,03;223,03;223,03;280,25;343,68;343,68;
21-02-2015;223,42;223,2;223,2;223,2;223,2;234,35;223,2;223,2;223,2;223,2;223,2;223,2;223,2;223,2;234,35;324,72;324,72;
22-02-2015;219,88;219,76;219,76;219,76;219,76;223,93;219,76;219,76;219,76;219,76;219,76;220,06;220,06;220,06;223,93;306,23;306,23;
23-02-2015;220,41;219,45;219,45;219,45;219,45;237,92;203,52;219,45;219,45;219,45;219,45;224,02;224,02;224,02;237,92;263,14;263,14;
24-02-2015;224,34;223,18;223,18;223,18;223,18;288,75;223,18;223,18;223,18;223,18;223,18;223,25;223,25;223,25;288,75;344,61;344,61;
25-02-2015;229,9;227,2;227,2;227,2;255,31;263,54;256,05;262,8;226,17;226,17;226,17;228,19;228,19;228,19;263,54;361,3;361,3;
26-02-2015;226,9;226,62;226,62;226,62;241,98;252,97;226,2;241,98;225,08;225,08;225,08;226,73;226,73;226,73;252,97;362,47;362,47;
27-02-2015;220,5;219,13;219,13;219,13;234,88;264,97;220,19;234,88;219,77;219,77;219,77;220,3;220,3;220,3;264,97;339,7;339,7;
28-02-2015;217,38;217,31;217,31;217,31;241,83;221,33;214,54;241,83;217,31;217,31;217,31;218,12;218,12;218,12;281,03;348,53;348,53;
01-03-2015;196,28;192,24;192,24;192,24;192,24;192,24;113,28;146,95;200,47;200,47;200,47;203,2;203,2;203,2;192,24;254,17;254,17;
02-03-2015;217,75;216,53;216,53;216,53;216,53;257,02;216,53;216,53;216,53;216,53;216,53;217,28;217,28;217,28;257,02;323,58;323,58;
03-03-2015;221,69;220,31;220,31;220,31;220,31;281,52;220,14;220,31;220,14;220,14;220,14;220,31;220,31;220,31;281,52;301,91;301,91;
04-03-2015;229,22;227,26;227,26;227,26;227,26;291,78;227,24;227,26;226,97;226,97;226,97;227,26;227,26;227,26;291,78;323,42;323,42;
05-03-2015;247,32;235,82;235,82;260,2;293,34;310,02;265,48;294,26;236,57;236,57;236,57;235,82;235,82;235,82;310,02;319,76;319,76;
06-03-2015;225,95;224,16;224,16;238,85;238,85;269,94;232,28;238,85;223,37;223,37;223,37;224,16;224,16;224,16;269,94;273,41;273,41;
07-03-2015;193,14;193,14;193,14;193,14;193,14;193,14;193,14;193,14;193,14;193,14;193,14;193,14;193,14;193,14;202,02;208,01;208,01;
08-03-2015;182,84;182,49;182,49;182,49;182,49;182,49;176,97;182,49;182,49;182,49;182,49;185,58;185,58;185,58;182,49;182,49;182,49;
09-03-2015;217,44;216,59;216,59;217,93;279,8;217,93;264,55;282,81;215,8;215,8;215,8;216,59;216,59;216,59;288,1;300,06;300,06;
10-03-2015;210,95;209,57;209,57;209,57;209,57;279,44;209,57;209,57;209,57;209,57;209,57;210,2;210,2;210,2;282,5;293,63;293,63;
11-03-2015;225,43;221,93;221,93;235,58;260,5;280,31;262,77;263,14;214,74;214,74;214,74;222,21;222,21;222,21;280,43;286,58;286,58;
12-03-2015;237,03;232,85;232,85;289,39;291,13;298,05;293,75;293,88;219,11;219,11;219,11;232,85;232,85;232,85;298,05;304,1;304,1;
13-03-2015;221,88;219;219;226,96;230,19;280,42;226,96;230,19;217,19;217,19;217,19;219,03;219,03;219,03;280,42;282,86;282,86;
14-03-2015;209,78;209,16;209,16;209,16;209,16;220,98;209,16;209,16;209,16;209,16;209,16;212,89;212,89;212,79;224,7;224,7;224,7;
15-03-2015;208,63;208,03;208,03;208,03;208,03;209,01;208,03;208,03;208,03;208,03;208,03;216,82;216,82;214,17;213,52;217,68;217,68;
16-03-2015;213,15;211,29;211,29;211,29;211,29;289,35;210,77;211,29;210,77;210,77;210,77;211,29;211,29;211,29;289,35;317,36;317,36;
17-03-2015;218,44;218,28;218,28;218,28;218,28;269,71;217,61;218,43;213,47;213,47;213,47;218,28;218,28;218,28;269,71;292,31;292,31;
18-03-2015;234,83;241,72;241,72;241,72;255,93;254,75;308,6;308,6;220,47;220,47;220,47;241,72;241,72;241,72;303,99;311,18;311,18;
19-03-2015;234,03;230,39;230,39;237,45;255,38;245,88;298,95;298,95;226,3;226,3;226,3;230,39;230,39;230,39;272,02;280,39;280,39;
20-03-2015;227,94;231,18;231,18;252,81;252,81;266,49;264,93;265,19;218,88;218,88;218,88;231,18;231,18;231,18;266,49;293,13;293,13;
21-03-2015;210,61;211,13;211,13;211,13;211,13;211,35;209,82;211,13;209,81;209,81;209,81;212,13;212,13;212,13;211,35;245,86;245,86;
22-03-2015;211,46;211,88;211,88;211,88;211,88;211,88;211,88;212,21;211,13;211,13;211,13;211,88;211,88;211,88;211,88;290,22;290,22;
23-03-2015;217,52;216,75;216,75;216,75;216,75;275,92;215,55;218,79;215,74;215,74;215,74;216,75;216,75;216,75;275,92;278,32;278,32;
24-03-2015;245,08;230,57;230,57;255,49;264,09;271,01;357,22;357,83;221,93;221,93;221,93;230,57;230,57;230,57;277,96;277,97;277,97;
25-03-2015;236,56;229,86;229,86;232,88;232,88;285,57;232,36;236,11;218,06;218,06;218,06;229,86;229,86;229,86;285,88;285,88;285,88;
26-03-2015;222,73;221,5;221,5;221,5;223,21;253,98;240,3;289,91;219,35;219,35;212,43;221,56;221,56;221,56;254,76;254,76;254,76;
27-03-2015;228,95;230,77;230,77;238,97;238,97;258,38;237,72;266,71;233,89;233,89;211,03;230,77;230,77;230,77;265,19;290,45;290,45;
28-03-2015;211,48;216,57;216,57;216,57;216,57;233,7;205,48;216,57;208,23;208,23;208,23;216,57;216,57;216,57;274,36;307,8;307,8;
29-03-2015;201,57;202,31;202,31;202,31;202,31;202,31;189,56;202,31;201,77;201,77;201,77;202,6;202,6;202,6;221,53;222,85;222,85;
30-03-2015;213,14;219,22;219,22;219,22;219,22;301,29;186,83;219,22;207,77;207,76;207,77;219,22;219,22;219,22;301,29;301,89;301,89;
31-03-2015;215,97;219,44;219,44;219,44;219,44;283,9;194,58;219,44;211,15;211,13;211,15;219,44;219,44;219,44;283,9;284,39;284,39;
01-04-2015;218,43;221,56;221,56;221,56;221,56;330,81;159,99;207,27;216,14;216,14;216,14;221,56;221,56;221,56;330,81;338,2;338,2;
02-04-2015;218,93;219,3;219,3;219,3;219,3;283,07;215,49;219,3;217,12;217,12;217,12;219,3;219,3;219,3;287,08;308,85;314,19;
03-04-2015;214,88;214,86;214,86;214,86;214,86;220,24;212,92;214,86;214,86;214,86;214,86;214,9;214,9;214,9;243,11;321,25;380,46;
04-04-2015;222,14;222,14;222,14;222,14;222,14;222,14;222,14;222,14;222,14;222,14;222,14;222,14;222,14;222,14;222,14;223,83;223,83;
05-04-2015;219,19;219,19;219,19;219,19;219,19;219,19;219,19;219,19;219,19;219,19;219,19;219,19;219,19;219,19;243,17;284,67;284,67;
06-04-2015;220,63;220,62;220,62;220,62;220,62;220,96;220,62;220,62;220,62;220,62;220,62;220,62;220,62;220,62;275,6;301,32;301,32;
07-04-2015;226,5;224,24;224,24;224,24;224,24;301,33;224,24;224,24;224,24;224,24;224,24;224,24;224,24;224,24;301,33;324,5;329,44;
08-04-2015;225,11;223,29;223,29;223,29;223,29;256,21;270,17;270,58;223,29;223,29;223,29;223,29;223,29;223,29;256,21;308;326,5;
09-04-2015;232,26;223,85;223,85;224,33;250,8;255,17;337,44;337,44;224,05;224,05;224,05;223,85;223,85;223,85;255,17;309,71;320,95;
10-04-2015;229,03;227,95;227,95;248,62;248,62;289,18;274,93;274,93;217,22;217,22;217,22;231,64;231,64;230,87;289,18;340,93;441,71;
11-04-2015;212,81;213,22;213,22;213,22;213,22;235,16;209,64;213,22;210,04;210,04;210,04;220,94;220,94;220,61;235,16;297,93;297,93;
12-04-2015;187,94;186,61;186,61;186,61;186,61;186,61;58,19;142,23;187,02;187,02;187,02;210,04;210,04;210,04;186,61;201,17;201,17;
