;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Troms›;EE;LV;LT
01-01-2017;255,43;249,99;249,99;249,99;249,99;249,99;220,88;220,88;263,76;263,74;263,74;249,98;249,98;249,98;249,99;249,99;249,99
02-01-2017;295,21;303,62;303,62;303,62;305,06;303,62;303,4;305,89;303,63;280,81;280,81;283,01;283,01;283,01;303,62;303,62;305,06
03-01-2017;285,91;298,24;298,24;298,24;298,24;298,24;257,67;285,16;296,36;273,94;279,22;291,38;291,38;291,38;298,24;298,24;298,24
04-01-2017;276,31;284,75;284,75;284,75;284,75;284,75;200,63;219,79;278,57;269,86;272,11;284,75;284,75;284,75;284,53;284,53;284,53
05-01-2017;352,24;393,49;393,49;393,49;393,49;393,49;386,75;393,49;391,48;295,05;290,37;296,19;296,19;293,76;392,25;382,6;382,6
06-01-2017;289,7;303,43;303,43;303,43;358,44;304,25;289,39;376,95;289,89;279,91;280,77;280,77;280,77;245,73;298,39;296,95;308,42
07-01-2017;272,5;279,66;279,66;279,66;279,71;279,66;269,4;279,71;279,66;271,04;271,04;271,04;271,04;236,19;279,66;279,71;279,71
08-01-2017;276,33;278,29;278,29;278,29;293,56;278,29;278,23;293,56;278,29;277,25;277,25;277,22;277,22;234,97;278,29;278,97;293,56
09-01-2017;278,22;282,74;282,74;282,74;336,82;296,67;274,92;336,82;276,01;274,9;274,9;274,9;274,9;241,17;296,67;345,72;345,72
10-01-2017;267,19;266,55;266,55;266,55;277,2;273,03;266,55;277,2;269,3;269,3;269,3;266,55;266,55;241,74;273,03;308,38;312,23
11-01-2017;251,62;247,89;247,89;247,89;247,89;253,66;241,9;243,12;255,53;255,53;255,53;248,08;248,08;241,5;253,66;253,66;253,66
12-01-2017;255,09;247,73;247,73;247,73;247,73;270,97;202,2;214,24;262,18;262,18;262,18;253,87;253,87;229,73;270,97;272,33;272,33
13-01-2017;296,95;317,22;317,22;317,22;336,68;334,4;309,51;336,68;316,2;284,76;276,78;276,78;276,78;235,2;334,4;336,68;336,68
14-01-2017;273,76;278,71;278,71;278,71;278,71;278,98;274,16;278,45;278,7;274,42;273,6;273,6;273,6;231,3;278,98;278,98;278,98
15-01-2017;275,38;279,65;279,65;280,33;289,52;280,33;280,18;289,52;279,26;279,26;271,64;270,12;270,12;229,28;280,33;280,33;289,52
16-01-2017;385,83;444,82;444,82;465,42;466,92;473,56;463,52;466,92;372,63;323,43;281,71;377,15;377,15;230,54;473,56;473,56;475,05
17-01-2017;295,99;293,63;293,63;310,79;451,69;328,05;310,75;451,69;309,3;287,29;277,59;277,27;277,27;232,08;328,05;337,07;451,69
18-01-2017;267,51;268,73;268,73;268,73;269,31;295,14;269,31;269,31;269,31;269,31;268,88;263,81;263,81;222,62;295,14;333,76;394,83
19-01-2017;259,77;262,55;262,55;262,55;262,55;268,01;263,39;262,55;263,39;263,39;263,07;255,23;255,23;214,88;268,01;354,18;363,61
20-01-2017;257,86;259;259;259;259;294,22;259;259;259,15;259,15;259,15;253,5;253,5;216,81;294,22;334,03;355,92
21-01-2017;255,62;258,29;258,29;258,29;258,29;258,29;258,29;258,29;258,29;258,29;257,24;250,99;250,99;215,04;258,29;271,85;342,59
22-01-2017;259,07;261,72;261,72;261,72;261,72;261,72;261,85;261,85;261,85;261,85;260,76;255,06;255,06;215,63;261,72;268,25;287,11
23-01-2017;264,56;264,01;264,01;264,03;264,03;319,1;265,35;265,35;265,35;265,35;263,18;261,74;261,74;226,19;319,1;327,36;359,01
24-01-2017;283,32;316,63;316,63;327,01;344,45;383,19;327,01;344,45;283,12;278;265,99;265,99;265,99;225,05;383,19;408,7;425,63
25-01-2017;264,93;263,41;263,41;267,14;293,66;294,4;267,74;293,8;267,28;267,28;263,38;261,54;261,54;223,63;294,4;372,85;468,16
26-01-2017;265,4;263,45;263,45;264,83;347,71;294,81;267,85;349,23;267,85;267,85;264,35;261,37;261,37;221,42;294,81;344,21;348,22
27-01-2017;271,09;273,26;273,26;273,26;336,06;310,89;272,11;336,06;272,11;272,11;267,61;271,22;271,22;216,51;310,89;337,86;337,86
28-01-2017;260,58;262,78;262,78;262,78;269,55;262,78;262,59;269,55;262,59;262,59;261,4;261,5;261,5;205,62;262,78;269,55;269,55
29-01-2017;253,58;255,89;255,89;255,89;255,89;255,89;255,89;255,89;255,89;255,89;255,89;255,89;255,89;204,77;255,89;255,89;255,89
30-01-2017;272,51;284,28;284,28;288,06;343,44;290,82;288,3;343,44;276,05;271,17;268,89;272,22;272,22;208,14;290,82;343,44;343,44
31-01-2017;284,72;309,81;309,81;313,34;327,22;324,84;306,52;327,22;274,37;274,37;270,29;281,73;281,73;215,42;324,84;327,41;327,41
01-02-2017;278,51;283,64;283,64;284,79;346,37;333;279,47;346,37;272,52;272,52;269,34;281,44;281,44;228,35;333;350,28;350,28
02-02-2017;279,2;282,85;282,85;282,85;331,17;311,22;278,48;331,17;278,48;278,48;273,19;282,85;282,85;241,7;311,22;332,53;332,53
